 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |                c_address                 |     c_phone     |                                                  c_comment                                                   
-----------+--------------------+-------------+-----------+---------------------------+------------------------------------------+-----------------+--------------------------------------------------------------------------------------------------------------
   1501885 | Customer#001501885 | 818594.1769 |   6702.05 | PERU                      | pGlyFd6QFvBYJtD                          | 27-774-951-6993 | nal packages. unusual, final waters haggle carefully to the carefully regular braids. silent, pending asympt
   2210824 | Customer#002210824 | 808269.1015 |   6105.91 | BRAZIL                    | qZu092Ik6uovVBe0                         | 12-754-679-1126 |  nag against the furiously final foxes.
   1213105 | Customer#001213105 | 779764.8321 |    442.29 | VIETNAM                   | 1v0VyD0elKT                              | 31-515-324-5327 | rding to the bold requests. slyly special d
    822877 | Customer#000822877 | 768873.1496 |   6081.95 | UNITED STATES             | HVzgHkg88MHlOKdrG0j4G17nsNR              | 34-828-725-7057 | uriously against the quickly regular packages. idle, special tithes use blithely i
   1535392 | Customer#001535392 | 767335.9648 |   2143.09 | VIETNAM                   | tOBm3Y4eDAMQO8ALvGAHseu                  | 31-503-128-1885 |  haggle idly bold pinto beans. blithely final packages sleep. carefully special dependencies alongside o
   1316650 | Customer#001316650 | 759605.0431 |   1058.30 | IRAQ                      | UgFfoTjRzT 4rbeKz9NpXU3H0GUxQNdLK        | 21-384-827-2912 | y except the ironic platelets. unusual instructions against the platelets nag e
    738841 | Customer#000738841 | 758173.6885 |   -336.58 | MOZAMBIQUE                | VlSBNTmpfX                               | 26-201-712-9940 |  pinto beans. express requests are. unusual e
   2243167 | Customer#002243167 | 754448.0233 |   3606.22 | ETHIOPIA                  | aybILJgRKDlLviIr                         | 15-235-582-1585 |  alongside of the furiously silent accounts use blithely above t
   2300215 | Customer#002300215 | 737515.1779 |   8674.68 | ALGERIA                   | QtbJZH665hgE26hy8t                       | 10-670-556-6608 | cajole ironically at the quic
   1320406 | Customer#001320406 | 732299.3435 |   2621.35 | ROMANIA                   | FLs S0hGX4StW5qt5r3bLiMYK4n              | 29-750-135-2379 | lites. requests cajole permanently above the carefully regular pinto beans? ironic requests boos
   1543045 | Customer#001543045 | 720248.0178 |   4490.27 | UNITED KINGDOM            | LKMI3AFLyFfG                             | 33-104-767-9133 | eposits wake across the carefully express d
   2329759 | Customer#002329759 | 715278.8324 |   5456.62 | SAUDI ARABIA              | ZbC,a3qRb7ZhJXT1v                        | 30-540-698-8547 | eposits sleep blithely about the instructions! carefully unusual theodolites run slyly. f
    612415 | Customer#000612415 | 706933.1485 |   8481.66 | MOROCCO                   | X8VYCYfZJNZ0ftdNJ3iTEXMhe,cFjv1J         | 25-130-885-3558 | s wake about the slyly regular accounts. carefully pending packages haggle above the fluffily even deposit
   1481662 | Customer#001481662 | 706567.1639 |   2824.39 | EGYPT                     | eW1C1yp FLhgHXVI                         | 14-983-792-3089 | ccounts affix slyly pending, blithe pinto beans. carefully regular deposits integrate furiously. slyly 
    858106 | Customer#000858106 | 703647.4220 |   2647.13 | INDONESIA                 | NgV0aq894QrdZUiEdO,QbN0y5tGOWBYll0 s9Q j | 19-413-977-4730 | onic foxes. bold theodolites nag slyly regular fox
   1746157 | Customer#001746157 | 699167.0270 |   2689.48 | ROMANIA                   | AAJJSB6ecgM,xbUTeLc3pngeaV               | 29-545-960-8595 | lyly regular theodolites are slyly pending accounts. quietly regular pinto beans are quickly whitho
   1142971 | Customer#001142971 | 696414.6432 |   3386.75 | RUSSIA                    | WTc7xibQ9FaS GWXmetLo3CAa3BANqwhE        | 32-725-539-2510 | iously final packages. blithely final requests sleep. blithely ironic grouches integrate carefully alongs
   1598509 | Customer#001598509 | 695103.7203 |   4362.44 | INDONESIA                 | GBSyQMgcTngu3sAY1V                       | 19-271-117-6529 | ual pinto beans affix. quickly even accounts eat blithely. final ideas about the final 
    283480 | Customer#000283480 | 692088.2029 |   -981.65 | ARGENTINA                 | dTzPP07XUmpUeo9b ,KVXUOth6sNEGW          | 11-144-328-4804 | der furiously. quickly regular requests are carefully. furio
    813052 | Customer#000813052 | 690717.5866 |   8187.27 | JAPAN                     | TZEsfx0YkJSQhx0iXkkz8wx7KgNVJwk4vf19sx   | 22-701-575-1186 | hely after the quickly ironic requests. even packages sleep. carefully special deposits toward t
(20 rows)

