 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |                c_address                 |     c_phone     |                                                     c_comment                                                     
-----------+--------------------+-------------+-----------+---------------------------+------------------------------------------+-----------------+-------------------------------------------------------------------------------------------------------------------
    102409 | Customer#000102409 | 754437.5233 |   3137.99 | RUSSIA                    | asJk7xewKjkx2Tvi                         | 32-141-218-9381 | , regular theodolites x-ray blithely bold t
    117451 | Customer#000117451 | 687150.0955 |   1090.48 | UNITED STATES             | bSwr7mNPiaf1f lNK9 uTJxWCL2sn1Lak5NIB    | 34-354-586-6011 | ding to the furiously express accounts boost carefully af
    134905 | Customer#000134905 | 659722.8117 |   6825.41 | VIETNAM                   | r f4zOKykK kOLWYIqQcV1mWvgx              | 31-610-443-6074 | iously final dugouts. furiously
    102187 | Customer#000102187 | 637493.0787 |   -896.03 | ETHIOPIA                  | EAi6vcGnWHUMb6rJwn,PtUgSH74tR Aixa       | 15-877-462-6534 | gular packages. carefully regular deposits cajole carefully of the regular requests. carefully special accou
     48358 | Customer#000048358 | 636394.6977 |   -611.15 | ETHIOPIA                  | ycg3uMG7iDdwQvJ1irr                      | 15-687-936-5181 | the slyly unusual foxes-- carefully regular
     63382 | Customer#000063382 | 633576.9982 |   6260.88 | JAPAN                     | UOy pVJCMb                               | 22-489-901-3870 | ns wake carefully around the even accounts. theodolites are
     90751 | Customer#000090751 | 631808.5298 |   9142.57 | JORDAN                    | 8Asj1gnnRpvspMjaR5hhe                    | 23-195-898-4829 | osits cajole after the silent, brave accounts. foxes engage carefully thinly regular dependencies. sl
     17059 | Customer#000017059 | 617757.0831 |   5187.86 | INDONESIA                 | KthZ7IJlsNkcpeLyPIUjYJVKpp3YDR2          | 19-139-886-6141 | its. furiously special theodolites are
     78802 | Customer#000078802 | 611203.0212 |   5690.89 | ETHIOPIA                  | XaItkYQf15TEtCak0ss1z0iZiYacGxZqf9l PKLI | 15-876-764-7046 | l, regular packages would cajole above the ironic pinto beans. foxe
     97672 | Customer#000097672 | 603833.4289 |   1330.09 | EGYPT                     | Gyb4FVpWNKOEdeCgtqz5RsQTm kDsCA7         | 14-341-207-6992 | packages. pearls use furiously above the requests. dogged requests promise carefully? requests boo
     93410 | Customer#000093410 | 601617.5050 |    295.63 | CANADA                    | GpGgMZcyQi8hVDDYrBtfB                    | 13-274-672-8182 | ly final, special foxes. blithely even packages detect care
      3346 | Customer#000003346 | 594361.4258 |   1791.16 | IRAN                      | 1sNr LeoqYYp9hquhWXcgM Mj160K,5LG1glbr8  | 20-455-405-4343 | onic theodolites cajole slyly furiously regular packages. final packages dazzle slyly. even 
     79816 | Customer#000079816 | 593490.7118 |   3325.46 | BRAZIL                    | v AInXNcA4GLi35ZKCOzE5zb9xxsGS3gAfNk     | 12-360-644-3790 |  requests. blithely final foxes will have to sleep slyly even dependencies. furiously silent t
    114448 | Customer#000114448 | 584538.0521 |   -476.97 | JORDAN                    | K9C9FxAF82cZvCMPz3YW6xKMudCoQohOriGTaO2R | 23-796-978-9961 | r theodolites. final somas will are according to the ironic r
    118396 | Customer#000118396 | 584087.8946 |   8763.37 | VIETNAM                   | OHg2QBJzK X1uf51WcnxM4t2ko2bxgV7ppSIZ    | 31-742-848-7208 | l platelets are except the even grouches. regular, final accounts sleep furiously. packages poach quick
    124333 | Customer#000124333 | 583046.4108 |   8204.65 | BRAZIL                    | AUD0Nz3BP5Z GQR03U6bc5,JZr               | 12-653-815-4703 | ess pinto beans wake carefully until the fluffy ideas. fluffily ironic ideas wake alongside of the quickly ironic
     78820 | Customer#000078820 | 581307.6053 |    455.92 | MOROCCO                   | WxvWu794lpXYNNFMD B1zo9vTCXap            | 25-724-157-1747 | tly thin packages sleep furiously slyly even packages? furiously e
     48911 | Customer#000048911 | 576385.0722 |   3452.68 | IRAQ                      | WbxMwUN02HNIOu44DSu                      | 21-722-556-7134 | eans. regular packages use furiously about the regular instructions. sauternes are. fur
     54166 | Customer#000054166 | 574083.0349 |    922.83 | SAUDI ARABIA              | w1Dy27UtXiR0,d51ENurpSI4OrDFDrzXpjkHME   | 30-419-216-6944 |  carefully blithely busy packages. accounts can use regular theodolites. quietly spec
    104110 | Customer#000104110 | 568622.7408 |   2762.52 | JORDAN                    | mm7 ZuDX5Z5nAQbKObB 80XBCy,1nyW          | 23-639-800-5768 | urts sleep furiously alongside of the packages! slyly ironic packages sleep
(20 rows)

