 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |               c_address                |     c_phone     |                                                      c_comment                                                       
-----------+--------------------+-------------+-----------+---------------------------+----------------------------------------+-----------------+----------------------------------------------------------------------------------------------------------------------
     91714 | Customer#000091714 | 866533.5780 |   9377.35 | BRAZIL                    | qiDapbqTpR                             | 12-281-376-7280 | instructions. slyly unusual reques
     96713 | Customer#000096713 | 824878.4956 |   5645.09 | JORDAN                    | xInssbHLmuoPscGYvYziFGeGx5x            | 23-530-991-3717 | furiously against the carefully special instructions. blithely silent theodolites haggle fluffil
    144640 | Customer#000144640 | 780444.1984 |   -534.14 | IRAQ                      | zNb9cEn3S,qcOliTuWRqDPAZePftZme9wNG5ik | 21-306-195-3383 | fully bold theodolites are slyly about the fluffily unusual platelets. slyly busy accounts slee
    272068 | Customer#000272068 | 732637.3360 |   5292.43 | GERMANY                   | Q9iGbYhhHjif0Je nE0jEiE                | 17-594-859-3191 | press, pending packages affix. f
     18199 | Customer#000018199 | 714992.5174 |   7935.80 | ARGENTINA                 | l6x5ABY3SbUnwMDN6v                     | 11-688-988-8126 | nstructions affix. blithely even foxes cajole carefully pending asymptotes: r
     95512 | Customer#000095512 | 692128.7672 |   9803.62 | UNITED STATES             | Ya5nbcIYeqypyJfHctb6c0IwFfzbaNtofv     | 34-687-469-9234 |  express requests integrate carefu
     27448 | Customer#000027448 | 679324.5494 |   -974.71 | JORDAN                    | ZEuHw ouB0Tj2QS43KM89ub                | 23-668-698-3031 | s. ironic, even courts wake dogge
    186382 | Customer#000186382 | 649622.8132 |   3186.18 | KENYA                     | 2xXJ08f2mD3afAN0WkKg3sgvXldOlPAFJV     | 24-146-312-3563 | e furiously after the even asymptotes. blithely regular deposits cajole blithely enticingly special r
    294370 | Customer#000294370 | 640268.4294 |   5515.96 | MOROCCO                   | y 0p48vQ 3VMZpZ5OzQoIlUbpO             | 25-378-738-5897 |  foxes haggle daringly forges. carefully final deposits haggle 
    246520 | Customer#000246520 | 636804.5593 |   9347.39 | ALGERIA                   | tuY6bbA6VgO78maILOJ                    | 10-878-316-8399 |  requests. brave asymptotes cajole furiously alongside of the sly
     99718 | Customer#000099718 | 632427.0727 |   3232.56 | INDONESIA                 | RwdQEsnGKk1ukAPc1myPOuh4CXKIajim4Py    | 19-718-667-9969 | yly unusual foxes cajole slyly
     95887 | Customer#000095887 | 615243.3789 |   3890.11 | CHINA                     | JC8NTWePQQ8jVC7WyLZ1rMuZ7eO            | 28-428-765-8840 | rint. foxes haggle blithely against the slyly unusual
     97822 | Customer#000097822 | 609443.8925 |   5418.65 | UNITED KINGDOM            | Vbg5cyZytSVYgcLCBJW gksb1 M5           | 33-199-561-9638 | lyly alongside of the bold, ironic requests. flu
    108547 | Customer#000108547 | 602303.4214 |   8686.88 | ROMANIA                   | 8Fgh7wB I5DyRB28QVXDjliYl2             | 29-425-458-3952 | aggle quickly regular packages? furiously regular instructions across the regular dep
    244201 | Customer#000244201 | 598754.4044 |   8854.95 | INDIA                     | pRm6Y,lzqgMMwSHCjH0B                   | 18-838-816-3356 | ccounts. even requests detect slyly carefully silent pinto beans. final accounts impress. slyly even
    206752 | Customer#000206752 | 593475.1935 |   4371.12 | ETHIOPIA                  | hU21wLtbvNf9KWpLLup                    | 15-968-869-9241 | ounts among the slyly pending deposits are furiously across th
    166099 | Customer#000166099 | 589981.8946 |   8176.79 | FRANCE                    | XieU3YbbpDscI8GhyskWthDhRK2,Bf4uzQ6bS  | 16-734-269-6260 | refully instead of the even, bold escapades. b
    180703 | Customer#000180703 | 589138.9296 |   8275.30 | EGYPT                     | 2OAgDeuUQs7zG7eEpdY2tt4ao              | 14-657-188-9908 | onic packages sublate slyly fluffily regular frets. slyly regular deposits across the furiously unusual gr
    164980 | Customer#000164980 | 587621.4956 |   8782.40 | RUSSIA                    | oArSOKDOHxvgdHYSPxd drYIszFMtEOrptaf   | 32-735-525-8378 | leep carefully special deposi
    237130 | Customer#000237130 | 586415.6078 |   6227.40 | PERU                      | o2Lh5aPYtTmr9k51RESI7oAd               | 27-379-174-4019 | inst the slyly bold requests nag slyly express accounts. ironic accounts nag blithely after the quickly regular depe
(20 rows)

