 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |                c_address                 |     c_phone     |                                                      c_comment                                                       
-----------+--------------------+-------------+-----------+---------------------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------------------------
   2288464 | Customer#002288464 | 951644.6360 |   4782.55 | ARGENTINA                 | NmvsGkVmJ6oxC2TjlIoS                     | 11-874-246-1609 | t the enticingly ironic dolphin
   2257744 | Customer#002257744 | 875870.3997 |   3802.53 | IRAN                      | exHGTyk7Tqhtta6qxHY 5TQ                  | 20-377-154-5663 |  quickly furiously regular instructions. blithely pending requests boost fluffily. foxes use at the slyly spec
   1236529 | Customer#001236529 | 867810.0141 |   -295.79 | IRAQ                      | LBC2dqrIJFVpQrg                          | 21-508-513-4842 | se carefully pending, even accounts. regular ideas use along the blithely express requests. carefully f
   1608730 | Customer#001608730 | 850020.1032 |   9086.62 | KENYA                     | xy7fsLZS467QW8FrkSng                     | 24-205-105-8113 | oxes wake carefully even foxes. f
    570814 | Customer#000570814 | 834621.3092 |   8002.11 | KENYA                     | sV xa3uF Sz                              | 24-521-894-1124 | s. furiously even ideas are. carefully even platelets cajole. furiously even p
   1178170 | Customer#001178170 | 834489.9868 |   5890.34 | CANADA                    | SV 2VjQsIVr2JJQpGYW,PJb2                 | 13-471-930-3588 | uriously slyly regular accounts. close foxes play carefully above the fluffily special accounts. ironic pinto be
   1851733 | Customer#001851733 | 819504.5245 |   7135.82 | ARGENTINA                 | vm9OBdOJs1jn46wQUZzp9W0sTGADR4S5WsCaXZxs | 11-773-638-1869 |  instructions promise slyly at the furiously regular Tire
   1341301 | Customer#001341301 | 818401.1483 |   4649.62 | CHINA                     | hh2GQbN3xTnnHDMgTCqQKoyuy                | 28-679-243-5408 | e regular sheaves. carefully silent ideas after the packages sleep furiou
   2225878 | Customer#002225878 | 801002.8558 |   9807.24 | JORDAN                    | Eu9hgMW9g79                              | 23-708-726-4505 | ffy deposits cajole quickly around the quickly special dep
   3218533 | Customer#003218533 | 794037.5880 |   3587.75 | ROMANIA                   | adzWdomiqh3pL8eyX,rtPYKQzWDg7Tua         | 29-673-124-5290 | . quickly ironic accounts need to wake thinly even requests. final accounts cajole slyly against the fl
   4355305 | Customer#004355305 | 789550.8439 |   7895.11 | UNITED KINGDOM            | ZOQf86EuXS                               | 33-305-915-2144 | eposits are carefully. carefully even deposits are among 
   4439725 | Customer#004439725 | 776121.4871 |    929.87 | MOROCCO                   | 9a7Z 2aS9OTTFOyXVV3KxX8BJ7               | 25-241-522-7640 | s print quickly ironic asymptotes; blithely bold courts according to the final deposits dazzle ironic, e
   4689469 | Customer#004689469 | 772352.4590 |   4650.32 | RUSSIA                    | ,4MvOLyjhrBs7ztvT TLANFtpv37gZkZzHTVzZq  | 32-682-179-8782 | accounts. ironic, ironic deposits na
    365905 | Customer#000365905 | 767064.3434 |   2707.55 | CANADA                    | CG9w3FipeLXKKjkDoiwdN8,W                 | 13-293-780-3024 |  blithely regular, ironic pinto beans. slyly silent excuses boost alongside of the slyly special dependencies. slyly
   4759315 | Customer#004759315 | 765832.2282 |   1635.20 | FRANCE                    | pjlPozRj6nrdo7V5uFB                      | 16-756-506-2287 | press instructions sleep along the furiously ironic courts. platelets may sleep slyly furiousl
   3932449 | Customer#003932449 | 765600.8428 |   3479.78 | VIETNAM                   | CKwVTfsRHdY,JcY8zqa                      | 31-882-140-8255 |  blithely even instructions. fluffily unusual packages haggle carefully. fluffily final packages are. ironi
   2997649 | Customer#002997649 | 763154.7954 |   2712.27 | MOZAMBIQUE                | DmnOTCjRUTeon vIZlS6Vy1IKC8OLohEo4S      | 26-617-652-2572 | haggle. furiously pending foxes haggle blithely. carefully final dependencies sleep 
   3629515 | Customer#003629515 | 761753.9158 |   -964.82 | FRANCE                    | I3AaQU4I9I5J                             | 16-134-329-4805 | sits. final ideas use. pending packages across the car
   1326337 | Customer#001326337 | 754079.8982 |   6945.72 | VIETNAM                   | uQRFzSrgBb1t2BGt4feitV                   | 31-106-403-5295 | ckly against the carefully regular packages. blithely ironic requests sleep care
   2130325 | Customer#002130325 | 751025.3479 |   6139.28 | ROMANIA                   | ZnU w1n2nUHRCHgMW8mR                     | 29-599-209-2132 | tructions. regularly unusual deposits cajole doggedly across the pending warhorses. careful
(20 rows)

