 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |               c_address                |     c_phone     |                                                  c_comment                                                  
-----------+--------------------+-------------+-----------+---------------------------+----------------------------------------+-----------------+-------------------------------------------------------------------------------------------------------------
    193426 | Customer#000193426 | 887834.7726 |   8190.63 | JORDAN                    | XXhWOwknCkc35tIhu7pKjwsUH6OyHxcG       | 23-217-339-7745 | nic deposits above the even, special depend
    396697 | Customer#000396697 | 754098.2528 |   6310.41 | ARGENTINA                 |  5y0q0zxS1ylHasda91XMjmcgv3            | 11-849-200-4394 | s. quickly bold packages cajole ironic foxe
    359938 | Customer#000359938 | 719832.4380 |   2730.73 | JORDAN                    | vLnMWWgWlyPQlZGkZzp0qLXQTSE9Bv3D       | 23-467-987-4888 | ffily final asymptotes. regular requests boost closely. furiously ironic d
    544135 | Customer#000544135 | 705658.8871 |   1291.65 | INDIA                     | qtkmW0aPmyc9IqlYm65o                   | 18-942-175-8223 | f the slyly silent accounts. fluffily ironic excuses haggle express frets. u
    237349 | Customer#000237349 | 695514.8286 |   4511.43 | INDIA                     | UX49bjLgOXJ3UPU4lYOLiJAJsCLrPeTH       | 18-277-518-7771 | endencies cajole except the Tiresias. slyly express requests haggle carefully. special ex
    328423 | Customer#000328423 | 695348.2742 |   8218.10 | SAUDI ARABIA              | v8Amy58mMne3                           | 30-752-499-4498 | uests. special accounts haggle quickly past the blithely express deposits. special dependencies above the c
    124615 | Customer#000124615 | 694492.1193 |   5277.01 | BRAZIL                    | ZugsVpwPHi0AygTPfwD                    | 12-693-526-5315 | s. final, even pinto beans ca
     58129 | Customer#000058129 | 682111.7230 |   1569.86 | KENYA                     | cp2H4E yD86m0fe rDz66l                 | 24-663-925-5778 | st upon the quickly regular deposits.
      9991 | Customer#000009991 | 681286.8715 |   8997.22 | INDONESIA                 | mLFQqblXJ340                           | 19-284-728-9747 | aggle among the slyly ruthless theodolites. special, regular asymptotes along the quickly ev
    360907 | Customer#000360907 | 667905.2612 |   6548.95 | GERMANY                   | jueA5rkNWNFzgrNtb1pkVfz4RGLz4          | 17-852-838-3322 | yly regular somas. quickly regular platelets wake slyly after the carefully regular so
    200629 | Customer#000200629 | 663697.6785 |   7998.18 | JORDAN                    | ZuGVc,2gM5XRYH                         | 23-533-560-8817 | ies. ironic, pending waters grow. furiously regular multipliers boost blithely th
    284644 | Customer#000284644 | 658502.5923 |   3430.68 | IRAN                      | nnzJ2kr99fYXxaGscdqqE                  | 20-539-616-3942 | enticingly according to the platelets. requests eat furiously according to the unusual
    551395 | Customer#000551395 | 657633.1664 |    529.67 | MOROCCO                   | cy,,blfC5iCQD30AhkpW72krQi             | 25-841-855-6260 | ajole quickly furiously bold deposits. blithely bol
    345125 | Customer#000345125 | 652845.9796 |   1255.78 | CANADA                    | qqEssVok,B2Pn3ZfQwyCF0Ur               | 13-947-147-8339 |  carefully. ironic pinto beans above the ironic, final dependencies use 
    491227 | Customer#000491227 | 649385.8175 |   4630.31 | MOZAMBIQUE                | kKOhJy5bF65Jn5IgX4otr3CUt              | 26-545-825-8915 | ithely regular requests. slyly bold excuses alon
    232987 | Customer#000232987 | 646058.8954 |    163.86 | ALGERIA                   | t Sk5002dG2ib8GqwGaL4D8C4CTea1z5LaB2NY | 10-352-232-8548 |  blithely packages; packages alongside of the carefully ironic instructions sl
    113695 | Customer#000113695 | 643212.9848 |   1816.40 | IRAQ                      | AA3qcII,ze0vULe0kV7bes                 | 21-753-312-5606 | kly among the express requests. bold, pending deposits shall ca
    176380 | Customer#000176380 | 640631.2368 |   8058.96 | EGYPT                     | ,jyzS5PI7lNM                           | 14-912-635-1883 | olites. slyly permanent accounts cajole. slyly silent accounts serve blithely 
    489307 | Customer#000489307 | 628053.2740 |   7629.54 | VIETNAM                   | BKcdaOQ dg32F5tVmXwTH6                 | 31-909-490-8533 | ans poach carefully quickly ironic deposits. furiously even accounts boost slyly furiously unusual deposi
    312328 | Customer#000312328 | 627288.7202 |    173.90 | GERMANY                   | nG1I6uKvjqYxEPQ02h                     | 17-219-862-3628 | y carefully even attainments. slyly final foxes wake blithely silent theodolites. even
(20 rows)

