 c_custkey |       c_name       |   revenue   | c_acctbal |          n_name           |                c_address                |     c_phone     |                                                      c_comment                                                       
-----------+--------------------+-------------+-----------+---------------------------+-----------------------------------------+-----------------+----------------------------------------------------------------------------------------------------------------------
    386851 | Customer#000386851 | 853332.7511 |   3964.92 | IRAQ                      | 04oZLTU,wcwSQII0f1tx277Kb0O5P0o3iuK     | 21-946-346-1076 | cross the blithely even packages. carefully final dependencies detect fluffily bold d
    800623 | Customer#000800623 | 809708.8465 |    299.31 | KENYA                     | 3sEFlGY0DNMb3lFq46SYa0Iqfru2wIwu2FTsmnL | 24-371-276-4801 | ickly. furiously bold foxes wake above the carefully unusual requests; carefully regular platelets ca
    126295 | Customer#000126295 | 773148.1302 |   8967.94 | KENYA                     | V8vHCv5rAjNPWG8H1uG9oqbqRFY             | 24-376-234-5063 | fts. unusual accounts after the special ideas affix c
    656845 | Customer#000656845 | 762008.9583 |   6788.63 | UNITED KINGDOM            | nJE1,2odPaP4u kinZlQ7yjHtUlxYtCyTZ6vS4N | 33-595-209-7073 | refully furiously silent gifts. carefully fi
    740827 | Customer#000740827 | 759566.0733 |   5358.67 | MOZAMBIQUE                | 1LowC4xB3F8MMSngmoJTyMTWrs              | 26-760-713-3168 | iously regular accounts cajole carefully braids! pending instructions boost carefully 
    426493 | Customer#000426493 | 749969.8370 |   6163.83 | ROMANIA                   | qPWceHMYLBL                             | 29-870-936-6204 |  quickly express accounts wake carefully regular accounts. furiously pending accounts wake. regular attainments a
    352543 | Customer#000352543 | 735651.2321 |   -282.15 | ROMANIA                   | UplIcdrZfleroimYzicQ0iv                 | 29-866-874-5310 | y final theodolites wake about the even packages. carefully regula
    591793 | Customer#000591793 | 734950.8303 |   3341.31 | MOROCCO                   | IryE3CanhhVCxqBzTOO,                    | 25-705-924-8313 | gle bold, silent foxes. pinto beans boost quickly. pending,
    938914 | Customer#000938914 | 728381.8604 |   6457.89 | CHINA                     | Fbq8ZuWDjifylxzJmgu74mXoqiC4fcN         | 28-346-750-6864 | ular, unusual requests sleep furiously even requests. pending packages abo
    418555 | Customer#000418555 | 727764.0101 |   3773.55 | JORDAN                    | KwSy5rrMv7fokID4oA2l0CeApcyyv,ZTYAOl8W  | 23-545-718-4519 | ncies. slyly unusual accounts whithout the furiously ironic package
    771418 | Customer#000771418 | 725130.3715 |   1128.23 | JORDAN                    | bCufQEz0LO 7dy4E1UyN5n                  | 23-434-811-6125 | ly regular accounts. blithely stealthy instructions cajole along the blithely final packages.
    954349 | Customer#000954349 | 723440.2386 |   9198.80 | RUSSIA                    | sXfh27r4N,QaGCQIbBU5f                   | 32-349-973-6259 | accounts are. even pearls nag furiously slyly even foxes. furiously ironic instructions along the 
    602188 | Customer#000602188 | 717244.4143 |   -796.58 | PERU                      | G0XHplah3DGvJfNHQX                      | 27-883-189-6191 | ven foxes cajole. quickly ironic packages nag a
    380119 | Customer#000380119 | 712515.8664 |   8448.22 | PERU                      | FKpebliLaObGqedzIYZ4Y500Od              | 27-894-236-4582 | ironic, unusual requests sleep quickly
   1131415 | Customer#001131415 | 710038.1863 |   8300.45 | ARGENTINA                 | LQX5VQ05HLUZr                           | 11-479-584-7257 | egular instructions. ironic as
   1067803 | Customer#001067803 | 703374.4339 |   7715.15 | UNITED KINGDOM            | njonxTV0K297xq89nm                      | 33-900-102-6192 | osits are carefully at the slyly iron
   1060411 | Customer#001060411 | 698959.8017 |   -162.48 | ETHIOPIA                  | Iu,MYAOlljCqoh9v7NyO                    | 15-869-589-1955 | arly unusual theodolites sleep finally close ideas. ironic theodolites sleep slyly according to the care
    217979 | Customer#000217979 | 695541.5919 |   8723.88 | EGYPT                     | pQmPtPJrowxlvq                          | 14-514-564-8149 | r accounts. quickly express sentiments solve. slyly dogged ideas boost. slyly bold dependencies affix furiously agai
    704356 | Customer#000704356 | 692194.0775 |   6820.25 | JAPAN                     | FqxLY07vnhlMAFJfuX                      | 22-850-664-4659 | oxes integrate above the carefully final foxes. carefully special theodolites haggle blithely along t
    137842 | Customer#000137842 | 673722.7018 |   3440.84 | FRANCE                    | 58a1c7Gba4dY                            | 16-529-297-9454 | es nag carefully ironic requests. furiously final accounts according to the unusual, regular theodolites
(20 rows)

