row,customer_id,name,matched_master_id,match_status,match_rule
2,C02658,Rehaan Mahajan,C02658,partial_match,customer_id
3,,Lekha Mitra,,incomplete_match,no_candidate
4,,,,incomplete_match,no_candidate
5,,Ekansh Sodhi,,incomplete_match,no_candidate
6,,,,incomplete_match,no_candidate
7,C02957,Divya Char,C02957,complete_match,customer_id
8,N00085,Warjas Kata,,new_entity,no_candidate
9,N00260,Raagini Bassi,,new_entity,no_candidate
10,,Yamini Roy,C00098,partial_match,name_city
11,N00235,Karan Viswanathan,,new_entity,no_candidate
12,C01131,Faris Pal,C01131,partial_match,customer_id
13,C01529,Kevin Mannan,C01529,partial_match,customer_id
14,C01165,Ikshita Swamy,C01165,conflicting,customer_id
15,C00958,Siya Kaur,C00958,complete_match,customer_id
16,,,,incomplete_match,no_candidate
17,C01580,Mekhala Golla,C01580,conflicting,customer_id
18,C01522,Upasna Bhat,C01522,complete_match,customer_id
19,,Madhavi Agate,,incomplete_match,no_candidate
20,C02101,Nitara Saxena,C02101,conflicting,customer_id
21,N00208,Diya Dube,,new_entity,no_candidate
22,,Ayushman Sant,C02535,partial_match,name_city
23,,Darpan Bhatnagar,,incomplete_match,no_candidate
24,C01076,Upadhriti Atwal,C01076,complete_match,customer_id
25,C00878,Gautami Bedi,C00878,conflicting,customer_id
26,N00381,Anthony Bail,,new_entity,no_candidate
27,C02666,Adya Yadav,C02666,conflicting,customer_id
28,C01759,Maanas Ben,C01759,conflicting,customer_id
29,N00386,Brinda Gole,,new_entity,no_candidate
30,C02424,Chanakya Kumar,C02424,complete_match,customer_id
31,,,,incomplete_match,no_candidate
32,C02747,Joshua Saran,C02747,conflicting,customer_id
33,,DARSH KATA,C01257,partial_match,phone
34,C01675,Raagini Keer,C01675,partial_match,customer_id
35,,Bhavika Bobal,,incomplete_match,no_candidate
36,N00034,Aadi Mody,,new_entity,no_candidate
37,C00856,Luke Sane,C00856,partial_match,customer_id
38,C02801,Prisha Gola,C02801,complete_match,customer_id
39,,Joshua Lala,,incomplete_match,no_candidate
40,C02559,Karan Shah,C02559,conflicting,customer_id
41,N00159,Yuvraj Chatterjee,,new_entity,no_candidate
42,C02714,Vaishnavi Ahluwalia,C02714,conflicting,customer_id
43,N00005,Gavin Singh,,new_entity,no_candidate
44,,SAMAR NARANG,C00823,partial_match,phone
45,,YOCHANA RAMAN,C02329,partial_match,phone
46,N00141,Aachal Mall,,new_entity,no_candidate
47,C00779,Ekta Deshpande,C00779,conflicting,customer_id
48,C00992,Gaurangi Char,C00992,complete_match,customer_id
49,,,C02737,partial_match,email
50,C02936,Inaya Zacharia,C02936,complete_match,customer_id
51,C02870,Hiral Biswas,C02870,partial_match,customer_id
52,C02907,Pallavi Goswami,C02907,partial_match,customer_id
53,C01923,Aashi Nair,C01923,complete_match,customer_id
54,,Isaiah Saini,C02229,partial_match,name_city
55,C02220,Gayathri Sarraf,C02220,partial_match,customer_id
56,N00088,George Swamy,,new_entity,no_candidate
57,N00311,Jackson Bera,,new_entity,no_candidate
58,,,,incomplete_match,no_candidate
59,C02999,Libni Baria,C02999,complete_match,customer_id
60,C00646,Zinal Randhawa,C00646,complete_match,customer_id
61,,RANBIR PANDIT,C00021,partial_match,phone
62,C02879,Yuvraj Baria,C02879,conflicting,customer_id
63,C01674,Champak Aurora,C01674,complete_match,customer_id
64,,Bhavya Karpe,C01187,partial_match,name_city
65,,Ubika Loyal,,incomplete_match,no_candidate
66,C02747,Ekapad De,C02747,partial_match,customer_id
67,N00207,Vedhika Rajan,,new_entity,no_candidate
68,C00479,Harini Barad,C00479,complete_match,customer_id
69,C02645,Bahadurjit Buch,C02645,partial_match,customer_id
70,C01279,Lakshit Char,C01279,partial_match,customer_id
71,N00127,Xiti Varughese,,new_entity,no_candidate
72,C01817,Ria Apte,C01817,complete_match,customer_id
73,C00916,Chaitanya Chada,C00916,partial_match,customer_id
74,N00339,Abdul Oommen,,new_entity,no_candidate
75,N00332,Yoshita Narula,,new_entity,no_candidate
76,N00292,Darpan Tara,,new_entity,no_candidate
77,C01051,Laksh Tata,C01051,conflicting,customer_id
78,,,,incomplete_match,no_candidate
79,N00077,Falan Dugar,,new_entity,no_candidate
80,C01288,Maya Bava,C01288,partial_match,customer_id
81,N00014,Anusha Kala,,new_entity,no_candidate
82,C01234,Brinda Chokshi,C01234,conflicting,customer_id
83,N00346,Bhavya Karnik,,new_entity,no_candidate
84,C00053,Ishanvi Shah,C00053,complete_match,customer_id
85,C02488,Vrinda Nayar,C02488,conflicting,customer_id
86,C02084,Vansha Raja,C02084,complete_match,customer_id
87,C00346,Shivansh Devi,C00346,conflicting,customer_id
88,N00150,Aachal Agarwal,,new_entity,no_candidate
89,N00358,Advay Cherian,,new_entity,no_candidate
90,,Falak Brar,,incomplete_match,no_candidate
91,N00239,Nilima Kothari,,new_entity,no_candidate
92,C01774,Gopal Talwar,C01774,complete_match,customer_id
93,C02423,Daksh Dayal,C02423,conflicting,customer_id
94,N00377,Yagnesh Mittal,,new_entity,no_candidate
95,C01688,Devika Brahmbhatt,C01688,conflicting,customer_id
96,C01858,Zansi Murthy,C01858,complete_match,customer_id
97,,Megha Naik,,incomplete_match,no_candidate
98,C02917,Pallavi Edwin,C02917,conflicting,customer_id
99,C02839,Umang Wagle,C02839,partial_match,customer_id
100,C02888,Tejas Patla,C02888,conflicting,customer_id
101,C02985,Nachiket Rout,C02985,conflicting,customer_id
102,C00203,Mohini Garde,C00203,conflicting,customer_id
103,,,,incomplete_match,no_candidate
104,N00330,Nimrat Bera,,new_entity,no_candidate
105,,YASHAWINI DIXIT,C02703,partial_match,phone
106,N00218,Nidhi Badal,,new_entity,no_candidate
107,C00550,Kai Thakkar,C00550,partial_match,customer_id
108,C01659,Geetika Bhargava,C01659,partial_match,customer_id
109,N00177,Balveer Kibe,,new_entity,no_candidate
110,C02550,Qadim Rana,C02550,partial_match,customer_id
111,C00177,Ronith Bir,C00177,complete_match,customer_id
112,,Leela Mangal,,incomplete_match,no_candidate
113,C01857,Banjeet Dave,C01857,partial_match,customer_id
114,C00125,Anthony Khalsa,C00125,complete_match,customer_id
115,C01869,Farhan Mani,C01869,partial_match,customer_id
116,C01918,Devansh Sharma,C01918,conflicting,customer_id
117,,,,incomplete_match,no_candidate
118,,AARINI OZA,C00019,partial_match,phone
119,,Vyanjana Samra,,incomplete_match,no_candidate
120,N00123,Banjeet Madan,,new_entity,no_candidate
121,C02697,Xalak Devi,C02697,partial_match,customer_id
122,C02378,Ethan Gade,C02378,complete_match,customer_id
123,C01059,Jairaj Pau,C01059,conflicting,customer_id
124,C02546,Girik Bera,C02546,complete_match,customer_id
125,,Dipta Bobal,,incomplete_match,no_candidate
126,,Panini Mander,,incomplete_match,no_candidate
127,C01565,Eshana Chahal,C01565,partial_match,customer_id
128,C00736,Falak Batta,C00736,partial_match,customer_id
129,C01736,Balveer Suri,C01736,partial_match,customer_id
130,,Rachita Baria,C01408,partial_match,name_city
131,C00014,Keya Hayre,C00014,complete_match,customer_id
132,C00775,Barkha Sama,C00775,complete_match,customer_id
133,C01625,Christopher Verma,C01625,partial_match,customer_id
134,,Oeshi Butala,,incomplete_match,no_candidate
135,N00155,Faraj Chatterjee,,new_entity,no_candidate
136,,,,incomplete_match,no_candidate
137,C01423,Nidhi Zachariah,C01423,conflicting,customer_id
138,N00053,Yutika Ravi,,new_entity,no_candidate
139,,,,incomplete_match,no_candidate
140,C01704,Chandran Swamy,C01704,partial_match,customer_id
141,C02788,Rudra Sachdev,C02788,partial_match,customer_id
142,C01946,Vincent Malhotra,C01946,partial_match,customer_id
143,C00324,Irya Mane,C00324,conflicting,customer_id
144,C02168,Bahadurjit Bhagat,C02168,conflicting,customer_id
145,C02902,Dominic Tandon,C02902,conflicting,customer_id
146,C00578,Dev Nadig,C00578,complete_match,customer_id
147,C01860,Girik Contractor,C01860,complete_match,customer_id
148,C02271,Harshil Kalita,C02271,complete_match,customer_id
149,C01212,Gaurangi Mann,C01212,partial_match,customer_id
150,C00833,Lohit Patil,C00833,complete_match,customer_id
151,C02810,Aarush Sane,C02810,partial_match,customer_id
152,C00323,Veda Date,C00323,conflicting,customer_id
153,,Christopher Sha,,incomplete_match,no_candidate
154,C02643,Eshana Dewan,C02643,partial_match,customer_id
155,N00008,Robert Mitter,,new_entity,no_candidate
156,C00583,Qabil Swaminathan,C00583,partial_match,customer_id
157,,,,incomplete_match,no_candidate
158,C01032,Januja Natt,C01032,complete_match,customer_id
159,C01988,Ridhi Kale,C01988,complete_match,customer_id
160,C00370,Vamakshi Bala,C00370,partial_match,customer_id
161,C01302,Gunbir Lad,C01302,conflicting,customer_id
162,C01492,Yashvi Sarraf,C01492,complete_match,customer_id
163,,Chaitaly Dixit,,incomplete_match,no_candidate
164,C00737,Harish Dhillon,C00737,complete_match,customer_id
165,C01800,Eta Kaul,C01800,complete_match,customer_id
166,,DIPTA DATTA,C01446,partial_match,phone
167,C01498,Oviya Nagy,C01498,partial_match,customer_id
168,C02083,Neelima Mahajan,C02083,conflicting,customer_id
169,N00345,Netra Prabhakar,,new_entity,no_candidate
170,C00669,Chakrika Chaudry,C00669,conflicting,customer_id
171,,Chasmum Dhingra,,incomplete_match,no_candidate
172,C01068,Vincent Kala,C01068,conflicting,customer_id
173,C02682,David Bhakta,C02682,partial_match,customer_id
